,peak_id,peak_name,peak_alternative_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,location,region,latitude,longitude
24,CHUL,Chulu Central,Chulu East,6584,Climbed,1955.0,W Germany,CHUL55201,Damodar,Annapurna-Damodar-Peri,-12.8241485,33.3069523
25,CHUG,Chukyima Go,Chugimago,6258,Climbed,2014.0,Slovenia,CHUG14301,Rolwaling,Khumbu-Rolwaling-Makalu,,
26,CHUR,Churen Himal Central,Unknown,7385,Climbed,1970.0,Japan,CHUR70301,Dhaulagiri,Dhaulagiri-Mukut,,
27,CHUW,Chulu West,Unknown,6419,Climbed,1952.0,Japan,CHUW52301,Damodar,Annapurna-Damodar-Peri,28.7454053,84.0228323
28,TAPL,Taple Shikhar,Cross Peak,6447,Climbed,1998.0,"Japan, Nepal",TAPL98301,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
29,CTSE,Changtse,Everest North Peak,7583,Climbed,1982.0,W Germany,CTSE82301,Khumbu,Khumbu-Rolwaling-Makalu,28.024329,86.9151856
30,DHA1,Dhaulagiri I,Unknown,8167,Climbed,1960.0,"Switzerland, Austria, W Germany, Nepal",DHA160101,Dhaulagiri,Dhaulagiri-Mukut,27.6930382,84.4236905
31,DHA2,Dhaulagiri II,Unknown,7751,Climbed,1971.0,"Austria, USA, Nepal",DHA271101,Dhaulagiri,Dhaulagiri-Mukut,28.7631589,83.3873786
32,DHA3,Dhaulagiri III,"Nalu, Naula",7715,Climbed,1973.0,W Germany,DHA373301,Dhaulagiri,Dhaulagiri-Mukut,28.7540263,83.3771445
33,DHA4,Dhaulagiri IV,Unknown,7661,Climbed,1975.0,Japan,DHA475101,Dhaulagiri,Dhaulagiri-Mukut,28.7357489,83.314379
34,DHA5,Dhaulagiri V,Unknown,7618,Climbed,1975.0,"Japan, Nepal",DHA575101,Dhaulagiri,Dhaulagiri-Mukut,28.734057,83.3605794
35,DHA6,Dhaulagiri VI,Unknown,7268,Climbed,1970.0,Japan,DHA670101,Dhaulagiri,Dhaulagiri-Mukut,28.7083897,83.2731956
36,DHAM,Dhampus,"Thapa Peak, Marpha Peak",6012,Climbed,1960.0,Austria,DHAM60101,Mukut/Mustang,Dhaulagiri-Mukut,28.300303,83.858681
37,DOGA,Dogari,Unknown,6536,Unclimbed,,Unknown,Unknown,Dhaulagiri,Dhaulagiri-Mukut,44.8469173,24.481427
38,PEMK,Pemthang Karpo Ri,"Dome Blanc, Kan Karmo",6865,Climbed,1955.0,"Switzerland, Nepal",PEMK55101,Jugal,Langtang-Jugal,28.2491141,85.7479044
39,DORJ,Dorje Lhakpa,Unknown,6966,Climbed,1981.0,"Japan, Nepal",DORJ81301,Jugal,Langtang-Jugal,28.175405,85.7786481
40,DRAN,Drangnag Ri,Thaknak Ri,6757,Climbed,1995.0,"Norway, UK, Nepal",DRAN95101,Rolwaling,Khumbu-Rolwaling-Makalu,,
41,DROM,Drohmo,"Domo, Longridge Peak",6881,Unclimbed,,Unknown,Unknown,Jongsang,Kangchenjunga-Janak,27.8243769,88.1008155
42,EVER,Everest,"Sagarmatha, Chomolungma, Qomolungma",8850,Climbed,1953.0,"New Zealand, India",EVER53101,Khumbu,Khumbu-Rolwaling-Makalu,39.6772236,-95.4247001
43,FANG,Fang,"Varaha Shikhar, Varaha Chuli, Finger",7647,Climbed,1980.0,"Austria, Nepal",FANG80101,Annapurna,Annapurna-Damodar-Peri,32.0426141,110.7210616
44,FIRN,Firnkopf,Firnkopf East,6730,Unclimbed,,Unknown,Unknown,Saipal,Far West-Kanjiroba,29.901419,81.4560136
45,FIRW,Firnkopf West,Unknown,6745,Climbed,1987.0,"Austria, W Germany, Nepal",FIRW87301,Saipal,Far West-Kanjiroba,,
46,GAMA,Gama Peak,Unknown,7187,Climbed,1970.0,Japan,GAMA70301,Dhaulagiri,Dhaulagiri-Mukut,28.7165789,83.2763871
47,GAN1,Ganesh I,Yangra Kangri,7422,Climbed,1955.0,"Switzerland, France",GAN155301,Ganesh/Shringi,Manaslu-Ganesh,28.3917153,85.1270412
48,GAN3,Ganesh III,"Salasungo, Kang Lombo, Lopsang Karbo",7043,Climbed,1979.0,"Japan, Nepal",GAN379301,Ganesh/Shringi,Manaslu-Ganesh,28.3452083,85.0795779
49,GAN2,Ganesh II,Unknown,7118,Climbed,1981.0,"W Germany, Nepal",GAN281302,Ganesh/Shringi,Manaslu-Ganesh,28.3789024,85.0551861
50,GAN4,Ganesh IV,Pabil,7104,Climbed,1978.0,"Japan, Nepal",GAN478301,Ganesh/Shringi,Manaslu-Ganesh,28.3363962,85.120491
51,GAN5,Ganesh V,Unknown,6770,Climbed,1980.0,"Japan, Nepal",GAN580101,Ganesh/Shringi,Manaslu-Ganesh,28.3697277,85.0614738
52,GAN6,Ganesh VI,Unknown,6908,Climbed,2000.0,Japan,GAN600101,Ganesh/Shringi,Manaslu-Ganesh,28.3312446,85.1628264
53,GANC,Ganchenpo,"Fluted Peak, Ganchempo",6378,Climbed,1971.0,USA,GANC71302,Jugal,Langtang-Jugal,28.1693908,85.6785419
